shortDescription,website,abn,foundedYear,social,logo,name_cn,updatedAt,industry,second_industry,third_industry,verified,languages,fullDescription,createdAt,teamSize,name_en,id,description,rating,location,services
"Geocon is Canberra's largest private real estate developer, specializing in high-density residential projects.",https://geocon.com.au/,56 163 299 769,2013,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fgeocon.png?alt=media,,2025-04-22 06:31:25.554000+00:00,"['Rental, Hiring and Real Estate Services']",Property Development,Property Development,TRUE,['English'],"Geocon, established in 2013, is renowned for its high-rise residential projects and hotel developments. With the aim of enhancing Canberra's skyline, the company has developed several iconic projects, such as Republic, High Society, and Grand Central Towers. Geocon is committed to creating livable spaces for Canberra residents by combining modern architectural design with lifestyle elements, while achieving excellence in sustainability and efficient construction.

Development Projects
1. The Grande on London
Address: 70 Allara Street, City, ACT 2601
This project is located in Canberra City and consists of three apartment buildings with a total of 332 residential units and 670 square meters of commercial space.

Project Timeline:

November 2023: Government approval received
December 2024: Construction begins
February 2024: Sales open to the public
October 2025: Estimated construction completion
December 2025: Expected settlement

2. WOVA
Address: Woden Town Centre

This project is located in the heart of Woden, Canberra, consisting of four apartment buildings with a total of 802 residential units and 22 commercial storefronts. It is a 5-minute walk to Westfield, a 6-minute drive to the hospital, and an 11-minute drive to Canberra's city center.

3. Black Diamond
Address: Tuggeranong

Located in Tuggeranong, Canberra, this development features a single building with 299 residential units and 303 square meters of commercial space. The project was completed and settled in 2023.",2025-04-22 06:31:25.554000+00:00,200,Geocon,COMP_00001,,,,
Doma is a Canberra-based real estate development company specializing in residential and commercial projects.,,,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fdoma group.png?alt=media,,2025-04-22 06:31:25.599000+00:00,"['Rental, Hiring and Real Estate Services']",Property Development,Property Development,FALSE,['English'],"Doma Group is a real estate development company headquartered in the Australian Capital Territory (ACT), founded in 1974. Initially focused on residential construction, the company has grown over the decades to become a leading developer of multi-unit residential and commercial projects in Canberra, New South Wales (NSW), and beyond. Its business now spans residential, commercial real estate, and hotel management.

Core Business
Doma Group is renowned for developing high-quality residential and commercial projects, particularly in key areas such as Barton, Civic, and Woden in Canberra. The company is also a major player in the hotel industry, being one of Canberra's largest private hotel operators. Its hotel brands, including Hotel Realm, Little National Hotel, and Burbury Hotel, focus on providing luxurious and modern accommodation experiences. In addition, Doma Group has contributed to various government development projects, such as the National Archives of Australia Preservation Facility.

Company History
Founded by Ivan Domazet, Doma Group has grown into a well-respected family-owned business within Australia's real estate sector. The company's success is attributed to its commitment to innovative design, meticulous construction, and sustainable development. Over time, Doma Group has evolved from residential buildings to a diversified portfolio that includes residential, commercial, and hotel developments, establishing itself as a key player in both the Canberra and NSW property markets.

Key Projects
Realm Precinct: Located in Canberra's Barton district, this multi-functional complex includes luxury hotels, restaurants, health clubs, medical facilities, and office spaces. It has become a prominent location for business and government events in Canberra, offering high-end amenities.

Little National Hotel: Known for offering ""affordable luxury,"" this hotel brand provides compact yet high-quality accommodations, catering primarily to public servants and parliamentary staff on business trips. The brand's success in Canberra has led to its expansion into cities like Sydney and Brisbane.

6 Stewart Avenue, Newcastle: A major commercial project in NSW, Doma Group was selected as the preferred developer for this $250 million project, enhancing its influence within the NSW property market.

Dockside, Kingston Foreshore: A luxury residential project in Canberra’s waterfront area, offering 120 one, two, and three-bedroom apartments. Its prime location and refined design have attracted significant interest from buyers.",2025-04-22 06:31:25.599000+00:00,,Doma Group,COMP_00002,,,,
"JWLand is an active real estate developer in Canberra, specializing in residential and commercial development projects.",,,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fjwland.png?alt=media,,2025-04-22 06:31:25.637000+00:00,"['Rental, Hiring and Real Estate Services']",Property Development,Property Development,FALSE,['English'],"JWLand is a prominent real estate developer headquartered in Canberra, established in 2014. Since its inception, the company has focused on delivering high-quality residential and mixed-use development projects. JWLand has quickly expanded, delivering thousands of residential units in prime locations across Canberra and Melbourne. The company's projects are renowned for balancing urban convenience with suburban tranquility, emphasizing sustainability, community building, and innovative urban planning.

JWLand operates with an integrated business model that encompasses urban planning, architecture, finance, and sales, ensuring complete control over every stage of the development process. Their projects are not only known for their high construction quality but also for creating living spaces that foster a strong sense of community.

Major Projects
Campbell 5 (Canberra) – This premium development is transforming Canberra’s inner north, blending luxury apartments and townhouses with a community-focused urban design.

Founders Lane (Canberra) – A $500 million project located in Canberra’s city center, combining retail spaces with residential apartments, contributing to the revitalization of the downtown area.

The Grounds (Melbourne) – This residential development features extensive green spaces, designed to bring nature into urban living.

Northbourne Village (Canberra) – A mixed-use development combining residential and retail spaces, showcasing JWLand's commitment to creating vibrant community environments.",2025-04-22 06:31:25.637000+00:00,,JWLand,COMP_00003,,,,
"Morris is a real estate developer active in Canberra and Brisbane, specializing in high-end residential projects.",,28 130 897 522,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fmorris property group.png?alt=media,,2025-04-22 06:31:25.676000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Morris Property Group, founded in 1978 and headquartered in Canberra, is a diversified real estate company specializing in property investment, development, construction, and asset management. Over more than four decades, the company has successfully completed numerous projects across the Australian Capital Territory, New South Wales, and Queensland, positioning itself as an industry leader. Morris Property Group is renowned for its fully integrated model, allowing it to manage every stage of a project, from land acquisition to construction and final delivery.

The company has developed over 75 residential and commercial projects, including key developments such as:

Opus Broadbeach (Gold Coast)
Opus Broadbeach, located in the Broadbeach area of the Gold Coast, is a luxury residential development. Situated on Elizabeth Avenue, just minutes from the beach, the 40-story building offers spacious two- and three-bedroom apartments, all with stunning views of the Pacific Ocean and abundant natural light. Residents can enjoy a year-round resort-style lifestyle with access to modern amenities, including a pool, gym, and leisure terrace. This project is known for its elegant design and premium features, attracting buyers seeking a high-quality living experience.

Koko Broadbeach (Gold Coast)
Located at 12-14 Elizabeth Avenue, Broadbeach, Koko Broadbeach is a 31-story residential development featuring 99 two- and three-bedroom apartments. The property offers both ocean and mountain views of the Gold Coast and is just steps away from the beach. Situated in the vibrant Broadbeach community, it provides easy access to local shops, restaurants, and entertainment venues.

One City Hill (Canberra)
One of Morris Property Group’s flagship projects, One City Hill is located in Canberra’s city center. This development offers a blend of upscale apartments and commercial office space, catering to modern urban living. With a prime location near Canberra’s main business and cultural hubs, the project emphasizes convenience and sustainability. It features multi-functional spaces, ample storage, and energy-efficient systems, appealing to professionals and families who prioritize city living.

Essentia (Surfers Paradise)
Essentia, located in the heart of Surfers Paradise on the Gold Coast, is a luxurious residential project offering a unique blend of city and beachfront living. Just a short distance from both the beach and major shopping districts, the spacious and modern apartments provide stunning ocean and mountain views from the higher floors. The building is equipped with exclusive amenities for residents, including a pool, gym, barbecue area, and lounge space, designed for those seeking a comfortable and convenient lifestyle.",2025-04-22 06:31:25.676000+00:00,,Morris Property Group,COMP_00004,,,,
"Peet, founded in 1895, is one of Australia's oldest real estate development companies.",,,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fpeet limited.png?alt=media,,2025-04-22 06:31:25.709000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Peet Limited, founded in 1895 and headquartered in Perth, is one of Australia's leading real estate development companies. The company specializes in creating large-scale planned residential communities, medium-density housing, and apartments across various states and regions in Australia. Peet’s business model encompasses land development, residential construction, and commercial property development, providing a diverse range of lifestyle options for different types of homebuyers.

With over 60 projects and residential land assets valued at approximately AUD 14 billion under management, Peet has earned numerous awards for its high-quality community development and urban planning. The company is also known for offering property investment options through its funds management division. Peet prioritizes sustainability and community building by incorporating innovative design and environmental management to create livable environments for residents.

Googong (New South Wales)
Googong is a large-scale integrated residential community developed by Peet Limited in New South Wales, located just 16 kilometers from Canberra. It aims to provide a modern living environment with a variety of housing options, including townhouses, standalone homes, and apartments, catering to the needs of different families. Googong emphasizes sustainability and quality of life, offering abundant green spaces, parks, schools, shopping centers, and other essential amenities. The development includes a central lake area currently under construction to enhance the region's ecological environment. The community also features sports facilities, gyms, and swimming pools, making it ideal for families and young professionals seeking a convenient blend of urban and natural lifestyles.

Bluestone Mt Barker (South Australia)
Bluestone Mt Barker is a modern community located southeast of Adelaide in South Australia, offering tranquil countryside views while maintaining the convenience of city living. The project comprises over 1,300 residential lots, primarily designed for standalone homes with spacious family areas and flexible floor plans. Bluestone focuses on sustainability, with multiple parks, greenways, and sports fields for outdoor activities, making it suitable for families and outdoor enthusiasts. The community also includes educational facilities and a commercial district, providing residents with great convenience. Its unique selling point is the combination of city convenience with rural tranquility and natural beauty, ideal for those looking to escape urban hustle and bustle.

Burns Beach (Western Australia)
Burns Beach is a premium coastal residential development located along the northern coastline of Perth, Western Australia. Known for its prime location and stunning ocean views, it attracts many homebuyers. Burns Beach offers spacious standalone homes and townhouses, perfect for families seeking a luxury lifestyle. The community design emphasizes harmony with the natural environment, preserving significant natural vegetation and coastal landscapes, with direct access to the beach for residents. In addition to its natural beauty, Burns Beach is equipped with shopping centers, dining areas, parks, and walking trails, providing ample outdoor activities and social opportunities. It is particularly appealing to buyers looking for a coastal lifestyle with high-quality housing environments.",2025-04-22 06:31:25.709000+00:00,,Peet Limited,COMP_00005,,,,
Amalgamated specializes in high-end residential and commercial development projects in Canberra.,,,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Famalgamated property group.png?alt=media,,2025-04-22 06:31:25.866000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Amalgamated Property Group (APG), founded in 2002 and headquartered in Canberra, is an Australian real estate development company specializing in residential and commercial projects. The company has earned widespread recognition for its iconic developments in Canberra and Queensland. APG’s executive team has over 115 years of combined experience and has completed projects with a total value exceeding AUD 4 billion, covering residential, apartment, commercial, and mixed-use buildings.

Company History
Since its founding, APG has focused on delivering high-quality buildings and living spaces to Australian cities. With a strong financial foundation, the company fully self-funds its projects, ensuring complete control over the entire process, from land acquisition and design planning to construction management. APG has made a significant impact on Canberra’s urban landscape, developing influential projects such as Civic Quarter and The Griffin, both of which have received numerous architectural and design awards.

Major Development Projects
Amaya Broadbeach (Gold Coast)
Amaya Broadbeach is a high-end residential development located just 300 meters from the beach in Queensland's Gold Coast. Developed in collaboration with Base Developments, this project offers luxurious two- and three-bedroom apartments. Its prime location and upscale design have attracted many buyers, providing the perfect blend of modern living and a beachfront lifestyle.

The Griffin (Canberra)
Located on Constitution Avenue in Canberra’s city center, The Griffin is a premium mixed-use development, including residential and commercial spaces. Positioned at the heart of Canberra’s political, historical, and cultural center, near Parliament House and Lake Burley Griffin, this project consists of 254 luxury apartments. The Griffin features spacious layouts, high-end finishes, and top-notch amenities such as a wellness center and sustainable sky gardens. Completed in 2022, the project has been highly sought after by discerning buyers.

Civic Quarter 1 and 2 (Canberra)
Civic Quarter is a premier commercial office project located on Northbourne Avenue in Canberra. The development comprises two office towers with a total area exceeding 35,000 square meters. Designed for large enterprises, it offers flexible workspaces, advanced facilities, and high standards of health and sustainability. Civic Quarter has won multiple awards for architecture and sustainability and has become a preferred office destination for well-known companies.

Ivy (Canberra)
Located in Woden Valley, Canberra, Ivy is an iconic residential development consisting of 274 apartments and six townhouses. With an elegant design, the project offers luxurious amenities such as swimming pools, gyms, and landscaped gardens. Completed in 2019, Ivy has received several architectural awards and has become a highly attractive residential option in the Woden area.",2025-04-22 06:31:25.866000+00:00,,Amalgamated Property Group,COMP_00006,,,,
"Art Group is a well-known real estate developer in Canberra, specializing in residential and commercial projects.",,,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fart group.png?alt=media,,2025-04-22 06:31:25.902000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Art Group, founded in 2003 and headquartered in Canberra, is an Australian real estate development company known for its focus on high-quality residential and commercial projects. The company is recognized for its innovative design and excellence in construction. Art Group’s mission is to create modern living spaces through design and development, offering sustainable and livable communities for its residents.

Company History
Art Group began as a detail-oriented home construction company with a focus on customer service. Over time, it has grown into one of Canberra’s leading real estate developers, specializing in shaping the future of urban living by incorporating innovative technologies and design concepts. In recent years, the company has placed a strong emphasis on sustainability, working to reduce the environmental impact of its developments. This includes introducing modern amenities such as electric vehicle charging stations and shared electric bicycles, aimed at enhancing sustainable living.

Key Development Projects
Calypso (Dickson, ACT)
Calypso is an upscale residential development currently under construction in Dickson, ACT, and is expected to be completed by 2025. The project has attracted considerable interest due to its outstanding design and convenient location. Calypso integrates modern amenities with a luxurious living experience, providing future residents with a high-quality living environment.

The Griffin (Canberra)
Located on Constitution Avenue in Canberra, The Griffin is a mixed-use residential and commercial project. The Griffin offers some of the most spacious apartments in Canberra’s city center, with access to top-tier amenities such as a wellness center, sustainable green gardens, and high-end finishes. Completed in 2022, The Griffin has become one of the most attractive residential projects in the area.

Kashmir (Dickson, ACT)
Kashmir is known for its innovative architectural design and prime location. Now completed, this project offers modern apartments and has become a part of Canberra’s central lifestyle. With its unique architectural style and comprehensive amenities, Kashmir has been well received by local residents.

Mulberry (Dickson, ACT)
Mulberry is another high-end residential project in Dickson that has already been completed. It offers modern apartments with premium living facilities. The project combines innovative design with functionality, providing residents with comfortable and stylish living spaces.",2025-04-22 06:31:25.902000+00:00,,Art Group,COMP_00007,,,,
"BLOC is a Canberra-based construction and development company, specializing in high-end residential and commercial projects.",,80 149 091 592,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fbloc.png?alt=media,,2025-04-22 06:31:25.937000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Bloc Group is a leading Australian construction and development company headquartered in Canberra. The company is renowned for its high-quality construction projects and exceptional execution capabilities, covering residential, commercial, and mixed-use developments. Bloc is committed to a people-centered philosophy, focusing on precise execution and excellence in project management, which has secured its significant position in the Australian construction market.

Company Overview and History
Since its establishment, Bloc Group has earned widespread recognition through innovative architectural designs and rigorous construction standards. The company is particularly known for its commitment to safety, quality, and sustainability, having received several industry certifications, including accreditation from the Office of the Federal Safety Commissioner (OFSC), marking a milestone in its safety management achievements. Bloc’s management team boasts extensive industry experience, ensuring projects are delivered on time, within budget, and to the highest standards of quality.

With a strong emphasis on efficient project management and attention to detail, Bloc has successfully completed numerous residential and commercial projects. The company fosters a culture of teamwork and continuous improvement, ensuring that every project meets the highest industry standards.

Key Projects
Friday Apartments (Griffith, ACT)
Located in Canberra’s Griffith district, Friday Apartments is a residential development consisting of 45 modern apartments. The project features one basement level and three stories, blending functionality with aesthetic appeal. It caters to residents seeking a comfortable urban lifestyle. The project was completed in 2013, with a total value exceeding AUD 10 million.

Canberra Centre Food Garden
The Canberra Centre Food Garden project exemplifies Bloc Group’s excellence in commercial project development. Combining modern design with high construction standards, the project provides a vibrant space for socializing, entertainment, and dining, enhancing the experience for both residents and visitors in the heart of Canberra.

Doris Blackburn Office Accommodation Project
This 10,000-square-meter commercial office project was completed three weeks ahead of schedule, showcasing Bloc Group’s exceptional project management capabilities. The project highlights the company’s professionalism and efficiency in delivering large-scale commercial developments.",2025-04-22 06:31:25.937000+00:00,,BLOC,COMP_00008,,,,
Hindmarsh Group is an Australian real estate developer specializing in high-end residential and commercial projects.,,,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Fhindmarsh group.png?alt=media,,2025-04-22 06:31:25.981000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Hindmarsh Group, founded in 1979 and headquartered in Adelaide, is a renowned Australian construction and development company. With over 45 years of experience, Hindmarsh specializes in complex construction projects, property development, aged care services, and capital management. As a family-run business, the company upholds core values of integrity, safety, innovation, teamwork, and high quality, positioning itself as a leader in the Australian construction industry.

Company History
Since its founding, Hindmarsh has been known for delivering specialized construction solutions, particularly in social infrastructure and sustainable building projects. The company is recognized for its personalized and collaborative project management approach, consistently delivering high standards of building and service to its clients. Today, Hindmarsh provides construction services across various sectors, including education, healthcare, industrial, residential, and government projects.

Key Projects
Queen Elizabeth Hospital – Mental Health Facility (South Australia)
Located at Queen Elizabeth Hospital in South Australia, this project is a dedicated mental health facility providing a modern therapeutic environment for patients. The facility was designed to enhance care quality and patient recovery experiences. Hindmarsh demonstrated its expertise in complex healthcare construction, ensuring the building adhered to strict medical standards while balancing functionality and aesthetic appeal. This project not only improved the hospital’s capacity but also strengthened mental health services within the community.

Woden Green (Canberra)
Woden Green is a large-scale residential development in the Woden district of Canberra, aiming to redefine urban apartment living. The project includes one-, two-, and three-bedroom apartments, catering to a variety of lifestyles and budgets. Woden Green offers a wide range of resident-exclusive amenities, including 3,000 square meters of green space, a resident-only pet park, children's play areas, a gym, a 25-meter indoor pool, and a business lounge. Its prime location offers walking access to Woden's center, dining, entertainment, and transportation facilities.

Iskia Apartments (Canberra)
Iskia is a luxury apartment project located in Campbell, Canberra, combining modern design with an exceptional location. Designed for residents seeking a high-quality living experience in the capital, Iskia emphasizes comfort and offers a variety of modern amenities.

Seventy One Constitution Avenue (Canberra)
Situated in Reid, Canberra, Seventy One Constitution Avenue is a boutique residential project offering a selection of high-end apartments. Residents enjoy a convenient lifestyle with close proximity to the city’s main business and entertainment hubs.",2025-04-22 06:31:25.981000+00:00,,Hindmarsh Group,COMP_00009,,,,
Riverview Projects is a Canberra-based development company specializing in high-end residential and commercial developments.,,95 008 492 653,,{},https://firebasestorage.googleapis.com/v0/b/qx-net-next-js.firebasestorage.app/o/company-logos%2Friverview projects.png?alt=media,,2025-04-22 06:31:26.012000+00:00,"['Rental, Hiring and Real Estate Services']",,,FALSE,['English'],"Riverview Group, founded in 2003, is an Australian real estate development company and a subsidiary of Corkhill Bros Pty Ltd. The company focuses on creating modern and sustainable communities, with development projects spanning the residential, commercial, and retail sectors. Riverview Group is dedicated to delivering innovative solutions in international design and sustainability, aiming to foster growth and environmental sustainability within communities.

Company History
Over the past decade, Riverview Group has successfully collaborated with multiple development groups, large corporations, and institutional investors to deliver several projects along Australia’s east coast. Through its subsidiaries—Riverview Developments, Riverview Projects, and Riverview Sales and Marketing—the company manages all stages of project development, ensuring high-quality execution and sustainable outcomes.

Key Development Projects
Ginninderry (West Belconnen)
Ginninderry is a joint development between Riverview Group and the ACT government, spanning the Belconnen district of Canberra and Yass Valley in New South Wales. Covering a total area of 1,600 hectares, with 800 hectares preserved as open space, the project aims to provide approximately 11,500 homes for a future population of around 30,000 residents. Ginninderry is renowned for its 6-star ""Green Community"" rating, showcasing its excellence in environmental sustainability, design, and innovation. In addition to residential areas, the project includes plans for schools, shops, community centers, childcare facilities, and medical centers.

The Poplars (Queanbeyan)
Located in southern New South Wales, The Poplars is a development project centered on sustainability and community design. Positioned as the gateway to southwestern Queanbeyan, this project integrates residential and commercial facilities to meet the diverse needs of future residents.

Mann Central Shopping Centre (Wodonga, Victoria)
This shopping center development in Wodonga, Victoria, aims to provide convenient shopping and leisure spaces for local residents. Mann Central is set to become a key commercial hub, contributing to the economic growth of the region.",2025-04-22 06:31:26.012000+00:00,,Riverview Projects,COMP_00010,,,,
